id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
40156003,LIPOSTHEY STNA,LIPOSTHEY (LIPOSTHEY STNA),CANTEGRIT,2,S220,-0.868333,44.343333,60,1997-05-01,2001-12-31,false,true,40,true,true,false
41173002,OUZOUER-ARVALIS,BEAUCE LA ROMAINE (OUZOUER-ARVALIS),ITCF,2,M112,1.522167,47.904,129,1998-10-01,2017-02-08,false,true,41,true,true,true
13063001,MIRAMAS PONTS ET CHAUSSEES,MIRAMAS (MIRAMAS PONTS ET CHAUSSEES),PONTS ET CHAUSSEES,4,Y430,5,43.583333,30,1981-01-01,1981-12-31,true,true,13,true,false,false
40272002,ST M HINX STNA-INRAE,SAINT-MARTIN-DE-HINX (ST M HINX STNA-INRAE),INRA,3,S430,-1.299333,43.570833,37,1984-10-01,,true,true,40,true,true,true
38400001,ST JEAN DE MOIRANS-AREA,SAINT-JEAN-DE-MOIRANS (ST JEAN DE MOIRANS-AREA),PEAGE-CHAMFEUILLET-A48-PK76,5,W311,5.567167,45.344167,290,1995-01-01,,true,true,38,false,true,false
38439400,COL DU BARIOZ,CRETS EN BELLEDONNE (COL DU BARIOZ),,4,NR,6.047333,45.324667,1424,2013-12-05,2018-05-01,false,true,38,true,true,false
38442004,LA SCIA,SAINT-PIERRE-DE-CHARTREUSE (LA SCIA),LA-SCIA,2,V150,5.833333,45.333333,1700,1990-11-01,1995-07-31,false,true,38,true,true,false
38504001,THEYS,THEYS,BG,2,W131,5.995667,45.302333,615,1905-01-01,,true,true,38,true,true,true
39198002,DOLE PC,DOLE (DOLE PC),PC,4,U255,5.495,47.091667,220,1852-01-01,1915-12-31,false,true,39,true,true,false
38442400,St Pierre de Chartreuse,SAINT-PIERRE-DE-CHARTREUSE (St Pierre de Chartreuse),Bec de la Scia,4,V150,5.8465,45.345,1700,1986-12-23,2024-06-01,false,true,38,true,true,false
38446003,ST-PIERRE-D'ENTREMONT,SAINT-PIERRE-D'ENTREMONT (ST-PIERRE-D'ENTREMONT),LES TERRAYS,2,V151,5.843333,45.411,870,2002-03-01,,true,true,38,true,true,true
33514011,SOULAC-SUR-MER AGGLOMERATION,SOULAC-SUR-MER (SOULAC-SUR-MER AGGLOMERATION),AGGLOMERATION,4,S100,-1.121667,45.513333,10,1881-01-01,1895-12-31,true,true,33,true,false,false
72181005,LE MANS USINE A GAZ,LE MANS (LE MANS USINE A GAZ),USINE A GAZ,4,M044,0.203333,47.996667,48,1881-09-01,1937-03-31,true,true,72,true,false,false
38522004,VALJOUFFREY_SAPC,VALJOUFFREY (VALJOUFFREY_SAPC),,2,NR,6.090167,44.869833,1285,2022-08-23,,true,true,38,true,true,true
38524001,VARCES,VARCES-ALLIERES-ET-RISSET (VARCES),ROCHEFORT,2,W282,5.697667,45.101167,253,1957-03-01,,true,true,38,true,true,true
38538002,GRENOBLE - LVD,LE VERSOUD (GRENOBLE - LVD),AERODROME,2,W141,5.8485,45.217167,220,1999-06-01,,true,true,38,true,true,true
39013004,ARBOIS_SAPC,ARBOIS (ARBOIS_SAPC),GRANGE GEILLON,2,U265,5.740167,46.896,313,1994-10-01,,true,true,39,true,true,true
33514001,SOULAC,SOULAC-SUR-MER (SOULAC),NEYRAN,4,S100,-1.066667,45.516667,2,1976-10-01,1984-12-31,true,true,33,true,false,false
38527400,VAUJANY-NIVO,VAUJANY (VAUJANY-NIVO),Mont Frais,4,W275,6.097667,45.158833,1720,1990-12-22,,true,true,38,true,true,false
41050002,CHEVERNY,CHEVERNY,LE PETIT CHAMBORD,2,K468,1.436333,47.505167,99,1960-01-01,,true,true,41,true,true,true
41075003,DROUE - MORACHE,DROUE (DROUE - MORACHE),LA MORACHE,2,M122,1.031667,48.016167,206,1992-11-01,,true,true,41,true,true,true
41106001,LAMOTTE-BEUVRON,LAMOTTE-BEUVRON,ST-MAURICE,2,K454,2.012,47.6105,117,1872-05-01,,true,true,41,true,true,true
41127001,LA MAROLLE,LA MAROLLE-EN-SOLOGNE (LA MAROLLE),LA GRIVAUDIERE,2,K457,1.795,47.571667,112,1993-12-01,1999-05-31,false,true,41,true,true,false
41197001,ST-AGIL,COUETRON-AU-PERCHE (ST-AGIL),LES HAIES,2,M122,0.923333,48.028333,172,1994-01-01,2001-01-31,false,true,41,true,true,false
